Month of Observation,Median Home Price (NSA)
1986-03-15,74730.899999999994
1986-04-15,75419.339999999997
1986-05-15,76136.940000000002
1986-06-15,76893.850000000006
1986-07-15,77657.100000000006
1986-08-15,78330.330000000002
1986-09-15,78912.270000000004
1986-10-15,79354.75
1986-11-15,79751.589999999997
1986-12-15,80338.600000000006
1987-01-15,80829.259999999995
1987-02-15,81336.399999999994
1987-03-15,81762.399999999994
1987-04-15,82402.660000000003
1987-05-15,83131.669999999998
1987-06-15,83979.869999999995
1987-07-15,84694.929999999993
1987-08-15,85303.5
1987-09-15,85753.589999999997
1987-10-15,86107.320000000007
1987-11-15,86349.479999999996
1987-12-15,86667.710000000006
1988-01-15,86968.190000000002
1988-02-15,87390.380000000005
1988-03-15,87906.399999999994
1988-04-15,88493.410000000003
1988-05-15,89278.210000000006
1988-06-15,90113.729999999996
1988-07-15,90897.259999999995
1988-08-15,91531.179999999993
1988-09-15,92024.380000000005
1988-10-15,92338.800000000003
1988-11-15,92646.889999999999
1988-12-15,92915.669999999998
1989-01-15,93342.940000000002
1989-02-15,93786.690000000002
1989-03-15,94347.080000000002
1989-04-15,94927.75
1989-05-15,95471.660000000003
1989-06-15,95978.800000000003
1989-07-15,96417.479999999996
1989-08-15,96710.350000000006
1989-09-15,96897.990000000005
1989-10-15,96981.669999999998
1989-11-15,97020.970000000001
1989-12-15,96989.279999999999
1990-01-15,97024.779999999999
1990-02-15,97100.850000000006
1990-03-15,97358.220000000001
1990-04-15,97676.449999999997
1990-05-15,98003.559999999998
1990-06-15,98263.470000000001
1990-07-15,98329.399999999994
1990-08-15,98224.160000000003
1990-09-15,97905.929999999993
1990-10-15,97505.289999999994
1990-11-15,96830.800000000003
1990-12-15,96312.25
1991-01-15,96112.75
1991-02-15,96487.589999999997
1991-03-15,96766.320000000007
1991-04-15,96766.320000000007
1991-05-15,96910.490000000005
1991-06-15,97410.270000000004
1991-07-15,97371.830000000002
1991-08-15,97342.990000000005
1991-09-15,97419.880000000005
1991-10-15,97631.330000000002
1991-11-15,98054.229999999996
1991-12-15,98198.399999999994
1992-01-15,98246.449999999997
